FIPS,37001,37003,37005,37007,37009,37011,37013,37015,37017,37019,37021,37023,37025,37027,37029,37031,37033,37035,37037,37039,37041,37043,37045,37047,37049,37051,37053,37055,37057,37059,37061,37063,37065,37067,37069,37071,37073,37075,37077,37079,37081,37083,37085,37087,37089,37091,37093,37095,37097,37099,37101,37103,37105,37107,37109,37111,37113,37115,37117,37119,37121,37123,37125,37127,37129,37131,37133,37135,37137,37139,37141,37143,37145,37147,37149,37151,37153,37155,37157,37159,37161,37163,37165,37167,37169,37171,37173,37175,37177,37179,37181,37183,37185,37187,37189,37191,37193,37195,37197,37199
2020,0,0,0,337,0,0,886,545,130,0,2979,0,842,0,0,1047,0,0,1977,0,147,0,0,543,0,0,0,192,0,0,0,3474,0,1736,0,0,0,0,0,276,6776,354,2393,0,399,145,1421,537,491,0,0,602,0,788,0,0,0,0,0,11408,0,0,0,0,1562,0,0,231,0,0,263,0,0,2185,0,0,0,4919,0,0,0,749,0,0,0,0,1322,0,0,2761,0,12928,0,0,0,3578,0,1503,0,0
2021,641,0,0,0,0,0,0,0,0,1275,1061,0,1972,0,30,246,0,0,709,0,0,7,0,0,0,560,187,142,217,46,0,1579,0,1268,434,948,0,0,215,0,2948,0,1109,103,516,0,432,0,1381,255,1847,0,161,0,499,0,39,99,0,4764,0,0,538,0,1157,0,774,440,0,0,600,0,0,861,0,0,0,0,0,84,0,0,0,0,0,0,146,0,0,1979,0,6995,0,0,379,0,0,57,0,0
2022,636,0,0,0,0,0,0,0,0,1250,1048,0,1935,0,30,244,0,0,697,0,0,7,0,0,0,560,184,140,217,45,0,1549,0,1257,430,942,0,0,216,0,2914,0,1090,104,511,0,425,0,1364,253,1816,0,160,0,496,0,41,96,0,4658,0,0,531,0,1139,0,770,435,0,0,590,0,0,852,0,0,0,0,0,84,0,0,0,0,0,0,143,0,0,1943,0,6839,0,0,373,0,0,57,0,0
2023,630,0,0,0,0,0,0,0,0,1224,1036,0,1900,0,30,243,0,0,686,0,0,7,0,0,0,559,182,139,216,46,0,1520,0,1246,426,935,0,0,215,0,2880,0,1071,104,506,0,418,0,1347,251,1786,0,159,0,491,0,39,98,0,4558,0,0,525,0,1121,0,766,429,0,0,579,0,0,844,0,0,0,0,0,84,0,0,0,0,0,0,143,0,0,1908,0,6690,0,0,368,0,0,55,0,0
2024,624,0,0,0,0,0,0,0,0,1200,1024,0,1866,0,29,242,0,0,675,0,0,7,0,0,0,559,180,137,216,46,0,1491,0,1235,423,930,0,0,213,0,2847,0,1053,103,501,0,411,0,1330,250,1756,0,158,0,489,0,39,98,0,4462,0,0,519,0,1103,0,762,424,0,0,569,0,0,836,0,0,0,0,0,84,0,0,0,0,0,0,142,0,0,1874,0,6547,0,0,363,0,0,57,0,0
2025,619,0,0,0,0,0,0,0,0,1177,1012,0,1832,0,30,240,0,0,664,0,0,7,0,0,0,557,178,137,216,45,0,1464,0,1225,419,924,0,0,214,0,2815,0,1036,103,497,0,404,0,1314,248,1728,0,158,0,485,0,41,98,0,4369,0,0,513,0,1086,0,759,419,0,0,560,0,0,828,0,0,0,0,0,84,0,0,0,0,0,0,141,0,0,1841,0,6411,0,0,357,0,0,55,0,0
2026,589,0,0,0,0,0,0,0,0,1079,966,0,1837,0,25,210,0,0,583,0,0,0,0,0,0,667,170,122,16,12,0,1457,0,1180,379,872,0,0,145,0,2747,0,1043,75,478,0,401,0,1275,234,1696,0,144,0,414,0,1,70,0,4384,0,0,513,0,1084,0,758,425,0,0,547,0,0,814,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,1830,0,6349,0,0,310,0,0,0,0,0
2027,584,0,0,0,0,0,0,0,0,1060,956,0,1805,0,25,209,0,0,575,0,0,0,0,0,0,667,168,121,16,11,0,1431,0,1170,376,867,0,0,146,0,2718,0,1027,74,474,0,395,0,1260,233,1669,0,143,0,411,0,1,68,0,4295,0,0,507,0,1068,0,754,420,0,0,538,0,0,807,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,1798,0,6220,0,0,306,0,0,0,0,0
2028,580,0,0,0,0,0,0,0,0,1042,946,0,1774,0,25,208,0,0,567,0,0,0,0,0,0,665,166,120,16,12,0,1406,0,1161,374,861,0,0,146,0,2688,0,1010,74,470,0,389,0,1246,232,1643,0,143,0,409,0,2,70,0,4209,0,0,501,0,1052,0,751,415,0,0,529,0,0,799,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,1768,0,6097,0,0,303,0,0,0,0,0
2029,575,0,0,0,0,0,0,0,0,1025,935,0,1744,0,25,207,0,0,560,0,0,0,0,0,0,665,164,119,16,12,0,1382,0,1151,370,856,0,0,145,0,2660,0,994,73,466,0,383,0,1232,230,1618,0,142,0,407,0,1,68,0,4127,0,0,495,0,1036,0,746,410,0,0,521,0,0,792,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,1739,0,5978,0,0,299,0,0,0,0,0
2030,570,0,0,0,0,0,0,0,0,1007,926,0,1716,0,25,206,0,0,552,0,0,0,0,0,0,664,162,118,16,11,0,1358,0,1142,368,851,0,0,145,0,2632,0,978,74,462,0,378,0,1217,228,1594,0,142,0,404,0,1,70,0,4048,0,0,490,0,1021,0,744,406,0,0,513,0,0,785,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,1710,0,5864,0,0,296,0,0,0,0,0
